Round, Active Player, Color, Chesspiece, X, Y
1, 0, white, BP_Knight0, 2, 6
1, 1, white, BP_Knight0, 2, 6
1, 1, black, BP_Pawn0, 7, 4
2, 0, white, BP_Knight0, 2, 6
2, 0, black, BP_Pawn0, 7, 4
2, 0, white, BP_Pawn1, 2, 3
2, 1, white, BP_Knight0, 2, 6
2, 1, black, BP_Pawn0, 7, 4
2, 1, white, BP_Pawn1, 2, 3
2, 1, black, BP_Knight1, 7, 7
3, 0, white, BP_Knight0, 4, 5
3, 0, black, BP_Pawn0, 7, 4
3, 0, white, BP_Pawn1, 2, 3
3, 0, black, BP_Knight1, 7, 7
3, 1, white, BP_Knight0, 4, 5
3, 1, black, BP_Pawn0, 7, 4
3, 1, white, BP_Pawn1, 2, 3
3, 1, black, BP_Knight1, 6, 5
4, 0, white, BP_Knight0, 5, 3
4, 0, black, BP_Pawn0, 7, 4
4, 0, white, BP_Pawn1, 2, 3
4, 0, black, BP_Knight1, 6, 5
4, 1, black, BP_Pawn0, 7, 4
4, 1, white, BP_Pawn1, 2, 3
4, 1, black, BP_Knight1, 5, 3
5, 0, black, BP_Pawn0, 7, 4
5, 0, white, BP_Pawn1, 3, 3
5, 0, black, BP_Knight1, 5, 3
5, 1, black, BP_Pawn0, 7, 4
5, 1, white, BP_Pawn1, 3, 3
5, 1, black, BP_Knight1, 4, 5
6, 0, black, BP_Pawn0, 7, 4
6, 0, white, BP_Pawn1, 3, 3
6, 0, black, BP_Knight1, 4, 5
6, 0, white, BP_Knight2, 2, 6
6, 1, black, BP_Pawn0, 6, 4
6, 1, white, BP_Pawn1, 3, 3
6, 1, black, BP_Knight1, 4, 5
6, 1, white, BP_Knight2, 2, 6
7, 0, black, BP_Pawn0, 6, 4
7, 0, white, BP_Pawn1, 3, 3
7, 0, white, BP_Knight2, 4, 5
7, 1, black, BP_Pawn0, 6, 4
7, 1, white, BP_Pawn1, 3, 3
7, 1, white, BP_Knight2, 4, 5
7, 1, black, BP_Bishop0, 7, 6
8, 0, white, BP_Pawn1, 3, 3
8, 0, white, BP_Knight2, 6, 4
8, 0, black, BP_Bishop0, 7, 6
8, 1, white, BP_Pawn1, 3, 3
8, 1, white, BP_Knight2, 6, 4
8, 1, black, BP_Bishop0, 5, 4
9, 0, white, BP_Pawn1, 3, 3
9, 0, white, BP_Knight2, 8, 5
9, 0, black, BP_Bishop0, 5, 4
