Move Count, Color, Captures, Current Chesscoin, Added Chesscoin, Chesscoin from Capture, Chesscoins from Taxes, Bought Figures
1, black, 0, 25, 5, 0, 0, 0
2, white, 0, 10, 5, 0, 0, 1
2, black, 0, 20, 5, 0, 0, 1
3, white, 0, 5, 5, 0, 0, 2
3, black, 0, 5, 5, 0, 0, 2
4, white, 0, 10, 5, 0, 0, 2
4, black, 0, 10, 5, 0, 0, 2
5, white, 0, 15, 5, 10, 0, 2
5, black, 1, 25, 5, 0, 0, 2
6, white, 0, 20, 5, 0, 0, 2
6, black, 1, 30, 5, 0, 0, 2
7, white, 0, 5, 5, 0, 0, 3
7, black, 1, 35, 5, 10, 0, 2
8, white, 1, 20, 5, 0, 0, 3
8, black, 1, 10, 5, 5, 0, 3
9, white, 2, 30, 5, 0, 0, 3
9, black, 1, 15, 5, 0, 0, 3
